block_number,block_timestamp,tx_hash,swap_log_index,tx_from_address,from_token_amount,to_token_amount,from_token_address,to_token_address,pool_address
41557327,01/02/26 00:00:01,0x6dc703bc7c2f3ec788c9fedbfbfa55378d309793a212d469611588152a9e9507,540,0xcc4bc7882d5ec4a3716e589ab3d816b61ae47a1a,1.95973260130605,29830235.4878349,0x4200000000000000000000000000000000000006,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557327,01/02/26 00:00:01,0x6dc703bc7c2f3ec788c9fedbfbfa55378d309793a212d469611588152a9e9507,530,0xcc4bc7882d5ec4a3716e589ab3d816b61ae47a1a,2.49247333594248,1.59280675367e-07,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557328,01/02/26 00:00:03,0x2793f426c4b7efbfe0c6b7b22e7442bd21fa3b37ce04f1c1167898d761f71d77,2247,0x7302f758aeff75de838e4a3285c2b844ec7492cd,0.0098670565247339,6.4014167e-10,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557328,01/02/26 00:00:03,0x2793f426c4b7efbfe0c6b7b22e7442bd21fa3b37ce04f1c1167898d761f71d77,2256,0x7302f758aeff75de838e4a3285c2b844ec7492cd,514922.649962508,0.0334021369416206,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557331,01/02/26 00:00:09,0x1caa5451c70f88395c72cbc54372a279febde4fe3132eb92386006ba84d358a7,89,0xddf5a1c3682281687730ef50dd9898ad08d31b8a,2038.44547387443,0.000132213227563961,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557331,01/02/26 00:00:09,0x1caa5451c70f88395c72cbc54372a279febde4fe3132eb92386006ba84d358a7,98,0xddf5a1c3682281687730ef50dd9898ad08d31b8a,2976136.83485593,0.19288730751406,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557335,01/02/26 00:00:17,0xde4e2e3f21d4c47906ce5ff6392049b6cfd4553cae700162efe973b102f397f4,513,0x85eb39c6fbf1a3f73d46e523fc5e6fb987f93d79,3.33143360407504,49780262.6575827,0x4200000000000000000000000000000000000006,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557335,01/02/26 00:00:17,0xde4e2e3f21d4c47906ce5ff6392049b6cfd4553cae700162efe973b102f397f4,503,0x85eb39c6fbf1a3f73d46e523fc5e6fb987f93d79,11789.824752716,0.000763540344180595,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557338,01/02/26 00:00:23,0x230ea3bc5bb97168ad80c8aa7f33fc312cdd61d79f3322ce318017508247abe1,175,0xf4f50eb61f9ca32df1f479ac56cea68c22bbee8a,0.00823353293413174,121472.420745501,0x4200000000000000000000000000000000000006,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
41557338,01/02/26 00:00:23,0x230ea3bc5bb97168ad80c8aa7f33fc312cdd61d79f3322ce318017508247abe1,165,0xf4f50eb61f9ca32df1f479ac56cea68c22bbee8a,46.6728632857242,3.100486333485e-06,0x9f86db9fc6f7c9408e8fda3ff8ce4e78ac7a6b07,0x4200000000000000000000000000000000000006,0x9fd58e73d8047cb14ac540acd141d3fc1a41fb6252d674b730faf62fe24aa8ce
